"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"Downtown","OR","Portland-Vancouver-Hillsboro","Multnomah County","Portland",1044,1807,0.0035,0.0212,0.0514,4189
2020-01-31,"Del Rio","FL","Jacksonville","Duval County","Jacksonville",1045,1487,0.0037,-0.0021,0.0911,7958
2020-01-31,"Cambridgeport","MA","Boston-Cambridge-Newton","Middlesex County","Cambridge",1046,2852,-0.0129,-0.0651,0.0196,3545
2020-01-31,"Como","MN","Minneapolis-St. Paul-Bloomington","Ramsey County","Saint Paul",1047,1467,0.0267,0.0397,0.0652,4349
2020-01-31,"Northside","CA","San Diego-Carlsbad","San Diego County","National City",1048,2310,0.0261,-0.0276,0.2109,1598
2020-01-31,"Bay Terrace","NY","New York-Newark-Jersey City","Queens County","New York",1049,2217,-0.0053,-0.0066,-0.0116,10898
2020-01-31,"Arlington","CA","Riverside-San Bernardino-Ontario","Riverside County","Riverside",1050,1962,0.0011,0.0031,0.0607,2203
2020-01-31,"Bay Ho","CA","San Diego-Carlsbad","San Diego County","San Diego",1051,2846,-0.0041,0.0172,0.107,4835
2020-01-31,"Dellview Area","TX","San Antonio-New Braunfels","Bexar County","San Antonio",1052,959,-0.0056,-0.0388,-0.0415,4269
2020-01-31,"Twin Lakes","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",1053,1060,-0.0039,-0.0121,0.0728,3666
2020-01-31,"Las Colinas","TX","Dallas-Fort Worth-Arlington","Dallas County","Irving",1054,1621,0.0043,0.0168,0.0195,6401
2020-01-31,"Martinsville","NJ","New York-Newark-Jersey City","Somerset County","Bridgewater Township",1055,2058,0.0003,-0.0119,-0.0362,4644
2020-01-31,"Plymouth Park","TX","Dallas-Fort Worth-Arlington","Dallas County","Irving",1056,1367,0.0049,-0.0324,-0.0488,2757
2020-01-31,"Wanskuck","RI","Providence-Warwick","Providence County","Providence",1057,1325,0.0045,0.0233,0.05,2466
2020-01-31,"Calallen","TX","Corpus Christi","Nueces County","Corpus Christi",1058,1350,0.0073,0.0074,0.0089,4814
2020-01-31,"Taku-Campbell","AK","Anchorage","Anchorage Borough","Anchorage",1059,1598,0.0089,0.0002,0.0072,4818
2020-01-31,"Montopolis","TX","Austin-Round Rock","Travis County","Austin",1060,1640,0.0002,0.0111,0.0721,2958
2020-01-31,"First Hill","WA","Seattle-Tacoma-Bellevue","King County","Seattle",1061,2117,-0.015,-0.0224,-0.0131,4759
2020-01-31,"Southwyck","OH","Toledo","Lucas County","Toledo",1062,1063,0.0197,0.021,0.034,3062
2020-01-31,"North Riverdale","NY","New York-Newark-Jersey City","Bronx County","New York",1063,1994,-0.0115,0.0238,0.0235,7023
2020-01-31,"Boerum Hill","NY","New York-Newark-Jersey City","Kings County","New York",1064,3008,-0.0038,0.0201,0.0473,3426
2020-01-31,"Reed Park","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Mesa",1065,1351,-0.0027,0.0229,0.0821,2742
2020-01-31,"Wicker Park","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1066,2331,-0.0198,-0.0511,0.0372,4267
2020-01-31,"West Campus","WA","Seattle-Tacoma-Bellevue","King County","Federal Way",1067,1723,0.0021,0.0325,0.0417,3290
2020-01-31,"Willmore City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Long Beach",1068,2058,0.0053,0.0261,0.061,1681
2020-01-31,"Downtown","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Long Beach",1069,2100,0.0049,0.0262,0.0906,6520
2020-01-31,"Old Irving Park","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1070,1603,-0.0239,-0.031,-0.0024,3553
2020-01-31,"Golden Gate Heights","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",1071,4245,-0.0085,-0.0237,-0.0378,3449
2020-01-31,"The Loop","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1072,2105,-0.0128,-0.0206,0.0305,10405
2020-01-31,"Thalia","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",1073,1438,0.0012,0.0053,0.0211,4550
2020-01-31,"Glenbrook","CT","Bridgeport-Stamford-Norwalk","Fairfield County","Stamford",1074,2147,-0.0017,0.0059,0.0155,9189
2020-01-31,"Aurora Highlands","CO","Denver-Aurora-Lakewood","Arapahoe County","Aurora",1075,1858,0.0066,0.021,0.0495,4538
2020-01-31,"Stockton Metropolitan Airport","CA","Stockton-Lodi","San Joaquin County","Stockton",1076,1540,-0.0027,-0.013,0.0553,3568
2020-01-31,"Drake","IA","Des Moines-West Des Moines","Polk County","Des Moines",1077,945,-0.0009,-0.0137,-0.0278,2826
2020-01-31,"Oak Creek","CA","Los Angeles-Long Beach-Anaheim","Orange County","Irvine",1078,2463,0.012,0.011,0.0242,3447
2020-01-31,"Park Glen","TX","Dallas-Fort Worth-Arlington","Tarrant County","Fort Worth",1079,1663,0.0011,0.027,0.0759,3967
2020-01-31,"Old Fourth Ward","GA","Atlanta-Sandy Springs-Roswell","Fulton County","Atlanta",1080,1713,-0.0031,0.015,0.0319,6571
2020-01-31,"Garrison Park","TX","Austin-Round Rock","Travis County","Austin",1081,1550,-0.0008,0.0239,0.0639,4708
2020-01-31,"Great Northwest","TX","San Antonio-New Braunfels","Bexar County","San Antonio",1082,1290,-0.008,-0.0095,-0.0001,4960
2020-01-31,"Eastside","CA","Los Angeles-Long Beach-Anaheim","Orange County","Santa Ana",1083,2269,-0.0016,-0.0134,-0.0017,1385
2020-01-31,"Front Park","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County","Buffalo",1084,957,0.0103,-0.0188,0.0106,3018
2020-01-31,"Grandview","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Glendale",1085,2639,-0.0015,0.0053,0.0103,1911
2020-01-31,"North Central","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Hollywood",1086,1452,-0.0083,-0.0096,0.0099,5582
2020-01-31,"Georgetown","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",1087,3092,0.0075,-0.0095,0.0086,4861
2020-01-31,"Mid-City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Santa Monica",1088,3772,-0.0021,-0.0181,0.0427,3144
2020-01-31,"Magruder Area","VA","Virginia Beach-Norfolk-Newport News","Hampton City","Hampton",1089,1303,-0.0016,-0.0073,0.0187,3393
2020-01-31,"Eastmoor","OH","Columbus","Franklin County","Columbus",1090,995,-0.0068,0.0036,0.0033,3999
2020-01-31,"Downtown","HI","Urban Honolulu","Honolulu County","Honolulu",1091,2106,0.0015,0.0083,0.0131,3682
2020-01-31,"Portland","KY","Louisville/Jefferson County","Jefferson County","Louisville",1092,765,-0.0049,0.004,-0.0118,3943
2020-01-31,"Lincoln Village","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",1093,800,-0.0117,0.0077,0.0771,2249
2020-01-31,"Logan Square","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",1094,1942,-0.0024,-0.0108,0.0428,5938
2020-01-31,"Maize-Morse","OH","Columbus","Franklin County","Columbus",1095,1053,0.0029,0.0108,0.0341,2787
2020-01-31,"Montclaire South","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",1096,1260,-0.0066,0.0173,0.0901,2490
2020-01-31,"Silverlake","RI","Providence-Warwick","Providence County","Providence",1097,1294,0.0091,0.0358,0.0429,2344
2020-01-31,"Nora-Far Northside","IN","Indianapolis-Carmel-Anderson","Marion County","Indianapolis",1098,1403,0.0182,0.0057,0.0088,3085
2020-01-31,"Memorial Park","CA","Los Angeles-Long Beach-Anaheim","Orange County","Santa Ana",1099,2503,0.0012,0.003,-0.0186,2075
2020-01-31,"West Kensington","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",1100,1407,-0.0008,-0.0033,0.0365,3856
2020-01-31,"Shaw","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",1101,2591,-0.0095,-0.0217,0.047,4920
2020-01-31,"Whitewater","CA","Riverside-San Bernardino-Ontario","Riverside County","Cathedral City",1102,1870,0.0025,0.0058,0.0456,1414
2020-01-31,"Downtown","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",1103,1655,-0.0053,-0.0148,0.0163,5240
2020-01-31,"Falcon","CO","Colorado Springs","El Paso County","Colorado Springs",1104,1724,0.0168,0.0405,0.058,5606
2020-01-31,"The Waterfront","NJ","New York-Newark-Jersey City","Hudson County","Jersey City",1105,2705,-0.0072,0.0005,-0.0053,7963
2020-01-31,"Mercury Central","VA","Virginia Beach-Norfolk-Newport News","Hampton City","Hampton",1106,1248,-0.0091,-0.0051,0.0117,4762
2020-01-31,"Riverside Park","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County","Buffalo",1107,853,0.0023,0.0079,0.0176,3609
2020-01-31,"Spenard","AK","Anchorage","Anchorage Borough","Anchorage",1108,1447,0.0017,-0.0129,-0.0077,3523
2020-01-31,"South Broad Street","NJ","New York-Newark-Jersey City","Essex County","Newark",1109,1520,0.0032,0.0108,0.0312,1454
2020-01-31,"Tucson Estates","AZ","Tucson","Pima County","Tucson",1110,1193,0.0123,0.0094,0.0975,2366
2020-01-31,"Oakwood","NY","New York-Newark-Jersey City","Richmond County","New York",1111,2063,-0.008,-0.0087,0.036,3773
2020-01-31,"Norwood","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Miami Gardens",1112,1746,0.0226,0.0044,0.0075,3490
2020-01-31,"Southeast","OR","Eugene","Lane County","Eugene",1113,1409,-0.009,-0.0252,0.0068,6121
2020-01-31,"Bagley","MI","Detroit-Warren-Dearborn","Wayne County","Detroit",1114,860,-0.0133,-0.0141,0.0081,4988
2020-01-31,"Downtown","VA","Virginia Beach-Norfolk-Newport News","Hampton City","Hampton",1115,1146,0.0063,0.0361,0.0451,4575
2020-01-31,"College East","CA","San Diego-Carlsbad","San Diego County","San Diego",1116,2520,0.0036,0.0115,0.0564,2263
2020-01-31,"Pico-Lowell","CA","Los Angeles-Long Beach-Anaheim","Orange County","Santa Ana",1117,2387,0.003,0.001,-0.0039,1045
2020-01-31,"Marina","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",1118,4622,-0.0047,-0.0067,-0.0092,2587
2020-01-31,"Windsor Park","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",1119,1256,0.0217,0.0529,0.1095,3190
2020-01-31,"Homosassa Springs","FL","Homosassa Springs","Citrus County","Homosassa",1120,1106,0.0074,0.0311,0.1143,2791
2020-01-31,"Devington","IN","Indianapolis-Carmel-Anderson","Marion County","Indianapolis",1121,809,0.0098,0.0146,0.0081,3868
2020-01-31,"Mandarin Station - Losco","FL","Jacksonville","Duval County","Jacksonville",1122,1346,-0.0006,0.0278,0.025,4331
2020-01-31,"Roosevelt Island","NY","New York-Newark-Jersey City","New York County","New York",1123,3838,-0.0085,-0.061,-0.0111,1387
2020-01-31,"Girard Estates","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",1124,1285,-0.0135,-0.0203,-0.0063,4778
2020-01-31,"Thompsonville","CT","Hartford-West Hartford-East Hartford","Hartford County","Enfield",1125,1254,0.0024,0.0145,0.0015,6136
2020-01-31,"River Mountain","NV","Las Vegas-Henderson-Paradise","Clark County","Henderson",1126,1466,-0.0045,0.0018,0.0751,5597
2020-01-31,"Lower Highlands","MA","Boston-Cambridge-Newton","Middlesex County","Lowell",1127,2119,-0.0066,0.0009,0.0409,3947
2020-01-31,"Canal","CA","San Francisco-Oakland-Hayward","Marin County","San Rafael",1128,3729,0.0094,0.01,0.0322,1403
2020-01-31,"Speer","CO","Denver-Aurora-Lakewood","Denver County","Denver",1129,1888,-0.0031,-0.0159,0.034,5472
2020-01-31,"Fairview","CA","San Francisco-Oakland-Hayward","Alameda County","Hayward",1130,2932,-0.0035,0.0054,0.0048,3638
2020-01-31,"Maple Leaf","WA","Seattle-Tacoma-Bellevue","King County","Seattle",1131,1968,-0.0029,0.0012,-0.0018,4508
2020-01-31,"East Raleigh","NC","Raleigh","Wake County","Raleigh",1132,1215,0.0268,0.0665,0.0532,2877
2020-01-31,"Belmont Heights","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Long Beach",1133,2530,-0.0128,0.0066,0.0087,4088
2020-01-31,"Russian Jack Park","AK","Anchorage","Anchorage Borough","Anchorage",1134,1446,0.0011,0.0085,0.0064,3418
2020-01-31,"University","CA","Stockton-Lodi","San Joaquin County","Stockton",1135,1541,0.0042,0.0169,0.0613,3974
2020-01-31,"Marcy Holmes","MN","Minneapolis-St. Paul-Bloomington","Hennepin County","Minneapolis",1136,1821,0.0045,0.0238,0.0228,1486
2020-01-31,"Park El Monte","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","El Monte",1137,2300,-0.0087,-0.0108,-0.0082,1739
2020-01-31,"Ingleside","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",1138,3611,-0.0084,-0.0365,-0.017,2473
2020-01-31,"Northwest","NV","Reno","Washoe County","Reno",1139,1716,0.0001,-0.0207,0.0408,10632
2020-01-31,"Westside Connection","MI","Grand Rapids-Wyoming","Kent County","Grand Rapids",1140,1356,0.008,0.0315,0.0373,4824
2020-01-31,"East Akron","OH","Akron","Summit County","Akron",1141,712,0.0025,0.0213,0.0588,4362
2020-01-31,"Near East","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",1142,1962,0,0.0132,0.0584,4256
2020-01-31,"Blue Hills","CT","Hartford-West Hartford-East Hartford","Hartford County","Hartford",1143,1257,-0.0044,0.0264,0.0156,2586
2020-01-31,"Aurora Highlands","VA","Washington-Arlington-Alexandria","Arlington County","Arlington",1144,2373,0.0045,0.0045,0.048,5204
2020-01-31,"Jamestown","GA","Augusta-Richmond County","Richmond County","Augusta",1145,953,0.0142,0.0445,0.0779,4483
2020-01-31,"Burleigh Tract","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawthorne",1146,2509,-0.0201,-0.0282,-0.0133,1188
2020-01-31,"Minor","WA","Seattle-Tacoma-Bellevue","King County","Seattle",1147,2185,0.0021,-0.0324,0.0117,3796
2020-01-31,"Calumet Heights","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1148,1282,-0.0026,0.0092,0.0103,4307
2020-01-31,"Colina del Sol","CA","San Diego-Carlsbad","San Diego County","San Diego",1149,1765,0.0015,-0.0024,0.0364,1099
2020-01-31,"Old North Milwaukee","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",1150,754,0.004,0.0242,0.0802,3401
2020-01-31,"Peabody","MA","Boston-Cambridge-Newton","Middlesex County","Cambridge",1151,2737,-0.0245,-0.0647,0.0263,4701
2020-01-31,"Muskego Way","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",1152,751,-0.0014,0.0267,0.0114,2034
2020-01-31,"Seward Hall","TN","Nashville-Davidson--Murfreesboro--Franklin","Williamson County","Franklin",1153,2364,0.0064,0.0806,0.115,5500
2020-01-31,"441 Corridor","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Hollywood",1154,1441,-0.0199,-0.0218,-0.004,3233
2020-01-31,"East Oak Lane","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",1155,1226,0.0029,-0.0363,-0.0082,2619
2020-01-31,"Corona del Mar","CA","Los Angeles-Long Beach-Anaheim","Orange County","Newport Beach",1156,4635,-0.0029,0.0002,0.1157,7065
2020-01-31,"West Bench","ID","Boise City","Ada County","Boise",1157,1363,0.0099,-0.018,0.075,3705
2020-01-31,"Corlett","OH","Cleveland-Elyria","Cuyahoga County","Cleveland",1158,794,0.0059,0.0115,0.0149,4853
2020-01-31,"Congress Park","CO","Denver-Aurora-Lakewood","Denver County","Denver",1159,1855,-0.0012,-0.003,0.0345,4447
2020-01-31,"Whitney Ranch","NV","Las Vegas-Henderson-Paradise","Clark County","Henderson",1160,1352,0.0083,0.0097,0.0587,3919
2020-01-31,"Rio Bravo","CA","Bakersfield","Kern County","Bakersfield",1161,1519,0.0116,0.0359,0.0353,4554
2020-01-31,"Poinsettia","CA","San Diego-Carlsbad","San Diego County","Carlsbad",1162,2784,0.0193,0.0329,0.0286,4926
2020-01-31,"Central","TX","El Paso","El Paso County","El Paso",1163,873,0.0003,-0.002,-0.0088,3374
2020-01-31,"Kings Point","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Delray Beach",1164,1398,-0.0291,-0.0499,-0.0161,10853
2020-01-31,"Northgate","OR","Salem","Marion County","Salem",1165,1457,-0.0014,0.0114,0.1016,1867
2020-01-31,"Ballantyne West","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",1166,1681,0.0042,0.0049,0.0532,6811
2020-01-31,"Glendale - Heather Downs","OH","Toledo","Lucas County","Toledo",1167,823,-0.0125,-0.0284,0.0421,3952
2020-01-31,"Historic Mitchell Street","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",1168,756,-0.0057,0.0005,0.0252,1715
2020-01-31,"Driftwood","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County","Hollywood",1169,1704,-0.011,-0.0267,0.0016,4374
2020-01-31,"Allied Gardens","CA","San Diego-Carlsbad","San Diego County","San Diego",1170,2199,0.0072,0.0005,0.0221,4606
2020-01-31,"Mission Grove","CA","Riverside-San Bernardino-Ontario","Riverside County","Riverside",1171,2278,0.0094,0.0082,0.1011,3245
2020-01-31,"Rosebank","NY","New York-Newark-Jersey City","Richmond County","New York",1172,2052,-0.0162,0.0028,0.0219,3941
2020-01-31,"Paradise Hills","NV","Las Vegas-Henderson-Paradise","Clark County","Henderson",1173,1611,0.0021,-0.0098,0.0409,4795
2020-01-31,"Carmel Mountain","CA","San Diego-Carlsbad","San Diego County","San Diego",1174,2647,0.0099,0.0091,0.031,4865
2020-01-31,"Central Campbell","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","Campbell",1175,3300,-0.0026,-0.0086,0.0044,3121
2020-01-31,"The Avenue","CA","Oxnard-Thousand Oaks-Ventura","Ventura County","Ventura",1176,2401,-0.0085,-0.0159,0.0262,3050
2020-01-31,"Park West","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1177,1684,0.0248,-0.0025,-0.1369,1375
2020-01-31,"South Central","KS","Wichita","Sedgwick County","Wichita",1178,676,0.0047,0.011,0.0056,4840
2020-01-31,"East Village","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Long Beach",1179,2059,0.012,0.0036,0.0633,2950
2020-01-31,"Sellwood-Moreland","OR","Portland-Vancouver-Hillsboro","Multnomah County","Portland",1180,1895,-0.0182,0.0026,0.0117,5150
2020-01-31,"Providence","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",1181,1559,0.003,-0.004,0.0416,7855
2020-01-31,"Mission Terrace","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",1182,3586,0.0047,-0.0031,-0.045,2561
2020-01-31,"Portsmouth","OR","Portland-Vancouver-Hillsboro","Multnomah County","Portland",1183,1819,0.011,0.0078,0.0668,2788
2020-01-31,"Pittman","NV","Las Vegas-Henderson-Paradise","Clark County","Henderson",1184,1340,0.014,0.0044,0.0899,5476
2020-01-31,"Ruby Hill","CO","Denver-Aurora-Lakewood","Denver County","Denver",1185,1641,0.0133,-0.0125,0.0025,2579
2020-01-31,"North Broadway","NJ","New York-Newark-Jersey City","Essex County","Newark",1186,1603,-0.0041,0.0198,0.0361,1594
2020-01-31,"Corona Hills","CA","Riverside-San Bernardino-Ontario","Riverside County","Corona",1187,2317,-0.0035,0.0005,0.0035,3389
2020-01-31,"Grand Crossing","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1188,1229,-0.0058,0.0128,-0.0064,2796
2020-01-31,"Winter Hill","MA","Boston-Cambridge-Newton","Middlesex County","Somerville",1189,2424,-0.014,-0.068,0.0079,3363
2020-01-31,"Klahanie","WA","Seattle-Tacoma-Bellevue","King County","Sammamish",1190,2596,0.0137,0.0124,0.054,4602
2020-01-31,"Argentine","KS","Kansas City","Wyandotte County","Kansas City",1191,916,-0.027,-0.0368,0.0092,3106
2020-01-31,"La Sierra Acres","CA","Riverside-San Bernardino-Ontario","Riverside County","Riverside",1192,2088,0.0009,0.0173,0.0635,2434
2020-01-31,"Southeast Torrance","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Torrance",1193,2891,0.001,-0.0075,0.0351,2829
2020-01-31,"East Bluff","IL","Peoria","Peoria County","Peoria",1194,714,-0.006,-0.02,0.0122,4991
2020-01-31,"Paschall","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",1195,1116,0.0073,0.0001,-0.0002,4126
2020-01-31,"Eastside","CA","San Diego-Carlsbad","San Diego County","National City",1196,2464,0.0242,-0.0024,0.0389,2110
2020-01-31,"Old Town","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1197,2061,-0.0234,-0.0174,0.0126,9820
2020-01-31,"Northwest","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Citrus Heights",1198,1746,-0.002,0.0243,0.0503,3786
2020-01-31,"Issaquah Highlands","WA","Seattle-Tacoma-Bellevue","King County","Issaquah",1199,2430,-0.0011,-0.0029,0.0513,6421
2020-01-31,"Norwood Park East","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1200,1548,-0.0061,-0.0014,0.0091,3969
2020-01-31,"Heritage","TX","Dallas-Fort Worth-Arlington","Tarrant County","Fort Worth",1201,1570,-0.0082,-0.0009,-0.0156,4119
2020-01-31,"Mt. Washington","OH","Cincinnati","Hamilton County","Cincinnati",1202,1210,-0.0106,-0.0143,0.0414,3742
2020-01-31,"Twinbrook","MD","Washington-Arlington-Alexandria","Montgomery County","Rockville",1203,2141,-0.0092,-0.0212,-0.0216,3627
2020-01-31,"Deep Creek South","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City","Chesapeake",1204,1680,0.0036,-0.0022,0.1298,3871
2020-01-31,"Upper Roxborough","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",1205,1561,-0.0025,0.0066,0.0229,3355
2020-01-31,"University Heights","IN","Indianapolis-Carmel-Anderson","Marion County","Indianapolis",1206,895,-0.0073,-0.0107,0.0322,3028
2020-01-31,"Crescenta Highlands","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Glendale",1207,2669,-0.0032,0.02,-0.0021,4269
2020-01-31,"Downtown","NY","New York-Newark-Jersey City","Kings County","New York",1208,3124,0.0102,0.0239,0.0877,5686
2020-01-31,"Westside","CA","Santa Maria-Santa Barbara","Santa Barbara County","Santa Barbara",1209,3569,0.025,0.0287,0.0099,1445
2020-01-31,"North East","CT","Hartford-West Hartford-East Hartford","Hartford County","Hartford",1210,1212,-0.0142,0.0188,0.0195,2351
2020-01-31,"Ventura College","CA","Oxnard-Thousand Oaks-Ventura","Ventura County","Ventura",1211,2665,-0.0117,-0.0144,-0.0069,3904
2020-01-31,"Pleasant Valley","OR","Portland-Vancouver-Hillsboro","Multnomah County","Portland",1212,1640,-0.0029,0.0049,0.0191,3543
2020-01-31,"Graniteville","NY","New York-Newark-Jersey City","Richmond County","New York",1213,2200,-0.0003,0.0188,0.0534,3470
2020-01-31,"College Park","FL","Orlando-Kissimmee-Sanford","Orange County","Orlando",1214,1664,-0.0035,-0.0064,-0.0009,6224
2020-01-31,"Heron Walk","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",1215,1297,0.0073,0.0057,0.02,3377
2020-01-31,"Stone Oak","TX","San Antonio-New Braunfels","Bexar County","San Antonio",1216,1570,-0.0046,0.0287,0.1262,2836
2020-01-31,"Jomacha-Lomita","CA","San Diego-Carlsbad","San Diego County","San Diego",1217,2409,0.0051,-0.0101,0.0061,2898
2020-01-31,"West End","MA","Boston-Cambridge-Newton","Middlesex County","Malden",1218,2367,0.0018,0.0007,0.0578,2803
2020-01-31,"Cal Young","OR","Eugene","Lane County","Eugene",1219,1513,-0.0003,-0.0113,0.0113,4652
2020-01-31,"East Price Hill","OH","Cincinnati","Hamilton County","Cincinnati",1220,963,-0.009,0.0299,0.0981,3854
2020-01-31,"Germantown East","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",1221,1162,0.011,-0.0017,-0.0255,3995
2020-01-31,"Serra","CA","Oxnard-Thousand Oaks-Ventura","Ventura County","Ventura",1222,2547,-0.01,-0.0019,0.0023,3250
2020-01-31,"Lower East Side","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",1223,1266,0.0102,0.0156,0.0903,3234
2020-01-31,"Tottenville","NY","New York-Newark-Jersey City","Richmond County","New York",1224,1784,-0.0176,-0.0322,-0.0166,3913
2020-01-31,"Brookside","OK","Tulsa","Tulsa County","Tulsa",1225,988,0.0046,-0.007,-0.0048,5087
2020-01-31,"Baymeadows","FL","Jacksonville","Duval County","Jacksonville",1226,1267,-0.0059,0.0074,0.0372,4277
2020-01-31,"Buckeye Shaker","OH","Cleveland-Elyria","Cuyahoga County","Cleveland",1227,931,0.0092,-0.0083,0.0183,3919
2020-01-31,"Northwest Akron","OH","Akron","Summit County","Akron",1228,1119,-0.0275,-0.0346,0.0023,5130
2020-01-31,"East Colfax","CO","Denver-Aurora-Lakewood","Denver County","Denver",1229,1645,0.0014,0.0226,0.0426,2744
2020-01-31,"Stapleton","NY","New York-Newark-Jersey City","Richmond County","New York",1230,2073,-0.0049,0.0081,0.0098,2300
2020-01-31,"Washington Park","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1231,1338,-0.0155,-0.0108,-0.0059,2030
2020-01-31,"Edison Park","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1232,1547,0.0072,0.0159,-0.002,4549
2020-01-31,"Butler-Tarkington","IN","Indianapolis-Carmel-Anderson","Marion County","Indianapolis",1233,1051,-0.0226,-0.0187,0.0166,3261
2020-01-31,"Southwest","NV","Reno","Washoe County","Reno",1234,1841,-0.0004,-0.0096,0.0502,11334
2020-01-31,"Phoebus","VA","Virginia Beach-Norfolk-Newport News","Hampton City","Hampton",1235,1178,-0.0051,-0.0029,0.0254,3195
2020-01-31,"North-East Coconut Grove","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Miami",1236,2566,-0.0184,-0.0201,0.0074,9289
2020-01-31,"McKinley Park","CA","Stockton-Lodi","San Joaquin County","Stockton",1237,1472,0.0118,0.0318,0.076,2606
2020-01-31,"Woodbury","CA","Los Angeles-Long Beach-Anaheim","Orange County","Irvine",1238,3108,-0.0129,-0.057,-0.0306,7659
2020-01-31,"Forestville","OH","Cincinnati","Hamilton County","Cincinnati",1239,1347,-0.0141,0.0051,0.0739,3981
2020-01-31,"Union Park","FL","Orlando-Kissimmee-Sanford","Orange County","Orlando",1240,1398,-0.0023,-0.0048,-0.0068,3389
2020-01-31,"Steele Creek","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",1241,1444,0.0059,0.0146,0.0248,4968
2020-01-31,"Larkspur","OR","Bend-Redmond","Deschutes County","Bend",1242,1767,-0.0074,0.0215,0.0828,1951
2020-01-31,"Logan","WA","Spokane-Spokane Valley","Spokane County","Spokane",1243,1193,-0.0026,0.0239,0.053,1959
2020-01-31,"Forest","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County","Buffalo",1244,1012,0.0011,0.0354,0.0422,2454
2020-01-31,"Yorkmount","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",1245,1332,0.0161,0.0161,0.0441,3129
2020-01-31,"Princess Anne Plaza","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",1246,1410,0.0049,0.0249,0.0286,3452
