"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"North Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Long Beach",46,2247,0.0048,0.0097,0.0105,16415
2020-01-31,"Sheepshead Bay","NY","New York-Newark-Jersey City","Kings County","New York",47,2090,-0.0204,-0.0271,0.0062,28104
2020-01-31,"South Bronx","NY","New York-Newark-Jersey City","Bronx County","New York",48,1968,-0.0041,0.0034,0.0318,4257
2020-01-31,"Soundview","NY","New York-Newark-Jersey City","Bronx County","New York",49,1855,0.0133,0.0209,-0.0203,7148
2020-01-31,"Willow Glen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",50,3221,-0.008,-0.0205,-0.0095,25957
2020-01-31,"Southeast","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",51,1580,0.0016,0.0165,0.0674,28324
2020-01-31,"White Haven-Coro Lake","TN","Memphis","Shelby County","Memphis",52,817,-0.0009,0.0105,0.0007,27974
2020-01-31,"Downtown","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",53,2927,-0.0043,-0.0119,0.0011,18990
2020-01-31,"Mid City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",54,3030,-0.005,0.0031,0.0219,16686
2020-01-31,"Northwest","TX","El Paso","El Paso County","El Paso",55,1154,0.016,0.0178,0.0518,26847
2020-01-31,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",56,2501,-0.0072,0.0261,-0.0017,11861
2020-01-31,"Preston Hollow","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",57,1601,0.0081,0.0019,0.0712,21338
2020-01-31,"Estrella","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",58,1295,0.0038,0.006,0.084,23246
2020-01-31,"Sun Valley","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",59,2704,-0.0129,0.0108,0.032,17153
2020-01-31,"Northridge","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",60,2757,0.0005,0.0242,0.025,19644
2020-01-31,"Flushing","NY","New York-Newark-Jersey City","Queens County","New York",61,2144,0.0099,-0.0137,-0.0195,26950
2020-01-31,"Alafaya","FL","Orlando-Kissimmee-Sanford","Orange County","Orlando",62,1445,-0.0051,0.0088,0.0266,30175
2020-01-31,"South Ozone Park","NY","New York-Newark-Jersey City","Queens County","New York",63,2222,-0.0004,0.0031,0.0076,19236
2020-01-31,"Ahwatukee Foothills","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",64,1554,0.0084,0.0147,0.0767,32768
2020-01-31,"Sylmar","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",65,2551,-0.0018,0.0009,0.0031,18526
2020-01-31,"Boyle Heights","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",66,2262,-0.0015,0.0312,-0.0223,8405
2020-01-31,"Sharpstown","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",67,1236,-0.006,0.0372,-0.0103,13949
2020-01-31,"West","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",68,1478,0.0038,0.0117,0.0348,28254
2020-01-31,"North Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",69,2622,-0.0134,0.0106,0.01,13423
2020-01-31,"San Pedro","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",70,2548,0.0091,0.0001,0.0065,20470
2020-01-31,"North Valley","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",71,3091,-0.0037,-0.002,-0.0062,18201
2020-01-31,"Evergreen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",72,3237,-0.0106,-0.0079,-0.0102,24907
2020-01-31,"Koreatown","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",73,2457,-0.013,-0.0014,0.0268,6784
2020-01-31,"Woodland Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",74,2874,-0.0131,0.0023,0.0098,25955
2020-01-31,"Eldridge - West Oaks","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",75,1401,0.0048,0.007,-0.0058,18079
2020-01-31,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",76,2949,-0.0094,-0.005,0.0053,23183
2020-01-31,"Pacoima","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",77,2502,-0.0042,0.0135,-0.013,12133
2020-01-31,"Murray Hill","NY","New York-Newark-Jersey City","Queens County","New York",78,2118,0.0023,-0.0047,-0.0148,20644
2020-01-31,"Little Village","IL","Chicago-Naperville-Elgin","Cook County","Chicago",79,1355,-0.0231,-0.0301,-0.0127,4497
2020-01-31,"North Raleigh","NC","Raleigh","Wake County","Raleigh",80,1309,0.0197,0.0165,0.035,30498
2020-01-31,"Southwest","CA","San Diego-Carlsbad","San Diego County","Chula Vista",81,2365,0.0046,0.0146,0.0503,13511
2020-01-31,"Canyon Country","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Santa Clarita",82,2695,0.0042,-0.0109,0.0154,22382
2020-01-31,"Mira Mesa","CA","San Diego-Carlsbad","San Diego County","San Diego",83,2484,-0.0076,0.0045,0.0332,23229
2020-01-31,"West Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange County","Anaheim",84,2359,-0.0098,0.0031,-0.0143,10741
2020-01-31,"Far Rockaway","NY","New York-Newark-Jersey City","Queens County","New York",85,2169,-0.0098,-0.0008,-0.0131,8807
2020-01-31,"Forest Hills","NY","New York-Newark-Jersey City","Queens County","New York",86,2114,0.0054,0.0003,0.0135,45754
2020-01-31,"Cordova-Appling","TN","Memphis","Shelby County","Memphis",87,1157,0.0073,0.0028,0.0312,21270
2020-01-31,"Northwest Raleigh","NC","Raleigh","Wake County","Raleigh",88,1290,0,-0.0087,0.0231,28540
2020-01-31,"Valencia","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Santa Clarita",89,2575,0.0094,-0.016,-0.001,24984
2020-01-31,"Westlake","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",90,2505,-0.0021,0.0037,0.0033,4102
